2018 PNW Cross-Team Scouting Data,,,,Note: Blanks below indicate the data was not present in source dataset. If Opponent Switch blank assume Switch = Near Switch + Opponent Switch combined.,,,,,,,,,,,,,
Portland Teams - Best Single Event Performance from data available per Team (Total Avg Cubes),,,,,,,,,,,,,,,,,
,,,,Overall Average Cubes,,Averages,,Tele,,,,Maximums,,,,,Climb Assist
Event,Team Name,,Team #,Auto + Tele,Tele Only,Auto Switch Cubes,Auto Scale Cubes,Switch Cubes,Opponent Switch Cubes,Exchange Cubes,Scale Cubes,Switch Cubes,Opponent Switch Cubes,Exchange Cubes,Scale Cubes,Climb %,Capability?
Week 3 - Auburn,,Portland,3238,3.8,3.1,0.6,0.0,0.4,,1.5,1.3,2,,3,6,50%,
Week 1 - Mount Vernon,,Portland,4469,3.7,3.7,0.0,0.0,0.7,0.0,0.7,2.3,3,0,7,5,58%,
Week 3 - Yakima,Confidential,Portland,4125,3.6,3.3,0.4,0.0,0.3,0.3,1.1,1.6,1,2,6,3,0%,
Week 3 - Yakima,Kittitas/Haywire,Portland,4495,3.6,3.0,0.6,0.0,0.3,0.0,0.8,1.9,2,0,4,3,11%,
Week 3 - Auburn,,Portland,2605,3.5,2.9,0.6,0.0,0.8,,0.0,2.1,3,,0,4,75%,Yes
Week 5 - Auburn Mview,,Portland,4131,3.5,3.1,0.4,0.0,0.8,,0.2,2.1,2,,1,7,27%,
Week 1 - Clackamass,Mystic Biscuit,,6465,3.3,3.3,0.0,0.0,1.0,1.6,0.7,0.0,1,5,7,0,0%,
Week 4 - West Valley,Mustangs,Portland,6076,3.2,3.2,0.0,0.0,0.3,0.5,2.5,0.0,2,2,7,0,0%,
Week 2 - Wilsonville,,Portland,2521,2.9,2.7,0.2,0.0,0.6,0.6,0.6,0.8,,,,,33%,
Week 5 - Auburn Mview,,Portland,6443,2.8,2.6,0.2,0.0,0.8,,0.8,1.0,3,,3,4,0%,
Week 2 - Wilsonville,,Portland,6845,2.7,2.4,0.3,0.0,0.3,0.0,0.9,1.3,,,,,0%,
Week 2 - Wilsonville,,Portland,847,2.7,2.5,0.2,0.0,0.3,0.3,1.7,0.2,,,,,0%,
Week 2 - Wilsonville,,Portland,1359,2.4,2.4,0.0,0.0,1.4,0.4,0.6,0.0,,,,,0%,
Week 4 - West Valley,Dragons,Portland,1595,2.3,2.3,0.0,0.0,0.0,0.0,1.3,1.0,0,0,5,4,55%,Unproven
Week 2 - Wilsonville,,Portland,7034,2.2,2.2,0.0,0.0,0.2,2.0,0.0,0.0,,,,,20%,
Week 2 - Wilsonville,,Portland,2374,2.1,1.7,0.4,0.0,0.0,0.4,1.3,0.0,,,,,0%,
Week 1 - Clackamass,4-H Clover Bots,,3674,2.1,2.1,0.0,0.0,0.4,0.0,0.3,1.3,2,0,1,3,56%,Marginal
Week 4 - West Valley,Titanium Tigers,Portland,2944,1.8,1.5,0.3,0.0,0.5,0.2,0.2,0.5,3,1,1,2,18%,
Week 3 - Yakima,SHREC,Portland,5450,1.6,1.6,0.0,0.0,0.3,0.2,0.1,0.9,2,2,1,2,22%,
Week 1 - Clackamass,Byte-Sized Robotics,,4662,1.2,1.2,0.0,0.0,0.3,0.0,0.2,0.7,1,0,2,2,0%,
